strategy,time_s,mass_kg
constant_mach,304.1536391267018,68251.88888635467
constant_mach,309.1536391267018,68186.00380715424
constant_mach,314.1536391267018,68120.21260434171
constant_mach,319.1536391267018,68054.51495090942
constant_mach,324.1536391267018,67988.9105211101
constant_mach,329.1536391267018,67923.39899045025
constant_mach,334.1536391267018,67857.98003568366
constant_mach,339.1536391267018,67792.6533348048
constant_mach,344.1536391267018,67727.41856704239
constant_mach,349.1536391267018,67662.27541285295
constant_mach,354.1536391267018,67597.22355391439
constant_mach,359.1536391267018,67532.26267311965
constant_mach,364.1536391267018,67467.39245457038
constant_mach,369.1536391267018,67402.61258357062
constant_mach,374.1536391267018,67337.92274662058
constant_mach,379.1536391267018,67273.32263141041
constant_mach,384.1536391267018,67208.81192681403
constant_mach,389.1536391267018,67144.39032288296
constant_mach,394.1536391267018,67080.05751084027
constant_mach,399.1536391267018,67015.81318307445
constant_mach,404.1536391267018,66951.65703313342
constant_mach,409.1536391267018,66887.5887557185
constant_mach,414.1536391267018,66823.60804667848
constant_mach,419.1536391267018,66759.71460300367
constant_mach,424.1536391267018,66695.90812282001
constant_mach,429.1536391267018,66632.18830538321
constant_mach,434.1536391267018,66568.55485107297
constant_mach,439.1536391267018,66505.0074613871
constant_mach,444.1536391267018,66441.54583893584
constant_mach,449.1536391267018,66378.16968743612
constant_mach,454.1536391267018,66314.87871170587
constant_mach,459.1536391267018,66251.67261765835
constant_mach,464.1536391267018,66188.55111229653
constant_mach,469.1536391267018,66125.51390370751
constant_mach,474.1536391267018,66062.560701057
constant_mach,479.1536391267018,65999.69121458371
constant_mach,484.1536391267018,65936.90515559392
constant_mach,489.1536391267018,65874.20223645601
constant_mach,494.1536391267018,65811.58217059502
constant_mach,499.1536391267018,65749.04467248725
constant_mach,504.1536391267018,65686.58945765489
constant_mach,509.1536391267018,65624.21624266072
constant_mach,514.1536391267018,65561.92474510276
constant_mach,519.1536391267018,65499.714683609
constant_mach,524.1536391267018,65437.585777832166
constant_mach,529.1536391267018,65375.53774844454
constant_mach,534.1536391267018,65313.57031713271
constant_mach,539.1536391267018,65251.68320659247
constant_mach,544.1536391267018,65189.87614052365
constant_mach,549.1536391267018,65128.148843625066
constant_mach,554.1536391267018,65066.50104158941
constant_mach,559.1536391267018,65004.93246109824
constant_mach,564.1536391267018,64943.44282981696
constant_mach,569.1536391267018,64882.03187638984
constant_mach,574.1536391267018,64820.69933043507
constant_mach,579.1536391267018,64759.44492253982
constant_mach,584.1536391267018,64698.26838425536
constant_mach,589.1536391267018,64637.16944809217
constant_mach,594.1536391267018,64576.14784751514
constant_mach,599.1536391267018,64515.20331693869
constant_mach,604.1536391267018,64454.33559172206
constant_mach,609.1536391267018,64393.54440816449
constant_mach,614.1536391267018,64332.82950350051
constant_mach,619.1536391267018,64272.190615895226
constant_mach,624.1536391267018,64211.62748443965
constant_mach,629.1536391267018,64151.13984914606
constant_mach,634.1536391267018,64090.727450943305
constant_mach,639.1536391267018,64030.39003167229
constant_mach,644.1536391267018,63970.12733408136
constant_mach,649.1536391267018,63909.939101821736
constant_mach,654.1536391267018,63849.82507944299
constant_mach,659.1536391267018,63789.78501238859
constant_mach,664.1536391267018,63729.81864699136
constant_mach,669.1536391267018,63669.92573046909
constant_mach,674.1536391267018,63610.10601092006
constant_mach,679.1536391267018,63550.35923731867
constant_mach,684.1536391267018,63490.68515951104
constant_mach,689.1536391267018,63431.0835282107
constant_mach,694.1536391267018,63371.5540949942
constant_mach,699.1536391267018,63312.09661229686
constant_mach,704.1536391267018,63252.71083340845
constant_mach,709.1536391267018,63193.39651246895
constant_mach,714.1536391267018,63134.15340446432
constant_mach,719.1536391267018,63074.98126522228
constant_mach,724.1536391267018,63015.87985140813
constant_mach,729.1536391267018,62956.84892052056
constant_mach,734.1536391267018,62897.88823088756
constant_mach,739.1536391267018,62838.99754166223
constant_mach,744.1536391267018,62780.176612818745
constant_mach,749.1536391267018,62721.42520514825
constant_mach,754.1536391267018,62662.7430802548
constant_mach,759.1536391267018,62604.13000055136
constant_mach,764.1536391267018,62545.58572925576
constant_mach,769.1536391267018,62487.11003038675
constant_mach,774.1536391267018,62428.70266875997
constant_mach,779.1536391267018,62370.363409984086
constant_mach,784.1536391267018,62312.0920204568
constant_mach,789.1536391267018,62253.88826736098
constant_mach,794.1536391267018,62195.75191866078
constant_mach,799.1536391267018,62137.68274309777
constant_mach,804.1536391267018,62079.6805101871
constant_mach,809.1536391267018,62021.74499021368
constant_mach,811.0317770492791,62000.0
