scenario,time_s,distance_m,mass_kg,height_m,temperature_k,density_kgm3,sound_speed_mps,airspeed_mps,groundspeed_mps,mach,cl,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator
temp_plus_10K,364.1536391267018,95412.28851658732,66996.48270546668,10128.36080066123,232.315654795702,0.38869349820776455,305.54981949388997,240.0,260.49429485439174,0.7854692907282154,0.5226285835270371,43108.591428730615,47784.36284277426,14.38309321567505,1.7080156067440795,-14.38309321567505,0.055214618898716206,0.9021485034878791
temp_plus_10K,369.1536391267018,96714.92805311563,66924.60680539122,10136.89968566237,232.26015204319458,0.3882764957934739,305.51331771560893,240.0,260.5622457180337,0.7855631361491322,0.5226285835270371,43062.343197707094,47731.79338163225,14.367269807871304,1.707538420510889,-14.367269807871304,0.0551394917873819,0.9021731669164139
temp_plus_10K,374.1536391267018,98017.91823032867,66852.80997747218,10145.436185131344,232.20466479664623,0.3878599521321182,305.4768217751197,240.0,260.6345505183668,0.785656988983206,0.5226285835270373,43016.145845314015,47679.283553273795,14.351464349535409,1.707061393802057,-14.351464349535409,0.05506355285971216,0.9021978234477982
temp_plus_10K,379.1536391267018,99321.28080876335,66781.09213201492,10153.970299865545,232.14919305087392,0.38744386670331654,305.4403316711051,240.0,260.71120559722056,0.785750849231101,0.5226285835270374,42969.99931383777,47626.83328758659,14.335676819563561,1.706584526574976,-14.335676819563561,0.05498680728633934,0.9022224730829926
temp_plus_10K,384.1536391267018,100625.03753067239,66709.45317943099,10162.502030661966,232.0937368006972,0.38702823898730326,305.40384740224897,240.0,260.79220729907786,0.7858447168934803,0.5226285835270376,42923.90354563304,47574.442514070295,14.319907196735155,1.7061078186130263,-14.319907196735155,0.05490926030743323,0.9022471158319545
temp_plus_10K,389.1536391267018,101929.21012003753,66637.89303023646,10171.031378317344,232.03829604093724,0.3866130684649199,305.36736896723505,240.0,260.8775519710739,0.785938591971008,0.5226285835270373,42877.85848312182,47522.11116364647,14.304155460257585,1.705631270189775,-14.304155460257585,0.05483091723370522,0.9022717516793021
temp_plus_10K,394.1536391267018,103233.82028258285,66566.41159505345,10179.558343628021,231.98287076641785,0.3861983546176223,305.3308963647478,240.0,260.9672359629932,0.7860324744643477,0.5226285835270371,42831.86406879427,47469.83916527602,14.288421588748077,1.7051548808276473,-14.288421588748077,0.0547517834414059,0.9022963806484854
temp_plus_10K,399.1536391267018,104538.88970578791,66495.00878460903,10188.082927389987,231.92746097196505,0.3857840969274755,305.2944295934723,240.0,261.0612556272676,0.7861263643741623,0.5226285835270376,42785.92024520812,47417.626449655145,14.272705561346196,1.7046786506544362,-14.272705561346196,0.05467186437547888,0.9023210027316602
temp_plus_10K,404.1536391267018,105844.44005890109,66423.68450973503,10196.60513039894,231.8720666524069,0.3853702948771535,305.25796865209395,240.0,261.15960731897553,0.7862202617011148,0.5226285835270371,42740.02695498854,47365.47294709098,14.257007357074382,1.704202579623911,-14.257007357074382,0.054591165545984054,0.9023456179299796
temp_plus_10K,409.1536391267018,107150.49299295277,66352.43868136843,10205.12495345021,231.81668780257363,0.38495694794993823,305.22151353929866,240.0,261.26228739583854,0.7863141664458685,0.5226285835270374,42694.18414082829,47313.378587740495,14.241326954909887,1.703726667602933,-14.241326954909887,0.05450969252723739,0.902370226249091
temp_plus_10K,414.1536391267018,108457.07014076853,66281.27121055097,10213.64239733878,231.7613244172979,0.38454405562972116,305.1850642537729,240.0,261.3692922182198,0.786408078609086,0.5226285835270376,42648.39174548757,47261.34330192351,14.225664333878973,1.7032509144866383,-14.225664333878973,0.054427450957023005,0.9023948276931817
temp_plus_10K,419.1536391267018,109764.19311698235,66210.18200842915,10222.157462859275,231.70597649141467,0.3841316174010009,305.14862079420385,240.0,261.4806181491221,0.7865019981914291,0.5226285835270374,42602.649711794,47209.36702050926,14.210019473173285,1.7027753203414995,-14.210019473173285,0.05434444653587795,0.9024194222575797
temp_plus_10K,424.1536391267018,111071.88351804987,66139.1709862537,10230.670150806029,231.6506440197608,0.3837196327488809,305.11218315927874,240.0,261.5962615541863,0.7865959251935607,0.5226285835270374,42556.95798264226,47157.44967390572,14.19439235184562,1.7022998850324074,-14.19439235184562,0.05426068502475688,0.9024440099480376
temp_plus_10K,429.1536391267018,112380.16292226147,66068.23805538008,10239.180461972992,231.59532699717553,0.38330810115907193,305.0757513476857,240.0,261.7162188016884,0.7866898596161424,0.5226285835270371,42511.31650099439,47105.59119276029,14.178782949020844,1.7018246084810287,-14.178782949020844,0.0541761722446579,0.9024685907673738
