scenario,time_s,distance_m,mass_kg,reference_height_m,height_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa,atmosphere_layer,airspeed_mps,groundspeed_mps,mach,cl,cd,drag_n,thrust_n,fuel_flow_kgs,climb_rate_mps,dh_dx,mass_rate_kgs,fuel_per_meter_kgpm,implicit_denominator,cumulative_fuel_time_kg,cumulative_fuel_path_kg,path_integral_mass_kg
standard_isa,334.4153265295442,87785.57488523974,67425.52443536425,9999.072701995268,9999.072701995268,223.15602743703073,0.4127521802169895,299.4657121376662,26439.64068371013,troposphere,240.0,260.0000257964477,0.8014273096135646,0.4953171765858869,0.03304025974394566,44106.75150132054,48218.34669571814,14.513722355411156,1.492370249767433,0.005739885006533807,-14.513722355411156,0.05582200352077601,1.0,5024.475627181381,5024.474736279232,5024.475564635752
standard_isa,336.4153265295442,88305.57494894176,67396.50297374836,10002.057446599949,10002.057446599949,223.1366265971003,0.4125994817992852,299.45269431176723,26427.56151958922,troposphere,240.0,260.00012699259537,0.8014621493107368,0.4952872133399894,0.03303892406641414,44088.65173940094,48198.471979500944,14.50774006582978,1.4923683501693366,0.0057398754663371306,-14.50774006582978,0.055798972999128386,1.0,5053.4970896026225,5053.496193729648,5053.497026251644
standard_isa,338.4153265295442,88825.57574955889,67367.49347188228,10005.042195434444,10005.042195434444,223.11722572967608,0.41244682638660507,299.4396759014826,26415.486807262772,troposphere,240.0,260.000762712044,0.801496993601347,0.4952572641912714,0.03303758909804003,44070.55883789852,48178.613303047896,14.501762604217413,1.492369518657876,0.005739865926126936,-14.501762604217413,0.05577584639733693,1.0,5082.50659227267,5082.505691437085,5082.506528117723
standard_isa,340.4153265295442,89345.57835613667,67338.49592259612,10008.026934714282,10008.026934714282,223.09782492435716,0.4122942146753657,299.42665696686294,26403.416601218556,troposphere,240.0,260.0019329504272,0.8015318423254494,0.49522732827553284,0.033036254800191504,44052.472818102084,48158.75736302738,14.495785966271237,1.4923689167185967,0.005739837776525825,-14.495785966271237,0.055752608458626535,1.0,5111.504140843159,5111.503235053432,5111.504077403879
standard_isa,342.4153265295442,89865.58383771038,67309.51032562501,10011.011678838819,10011.011678838819,223.07842408754766,0.41214164592073926,299.4136374450282,26391.35084195061,troposphere,240.0,260.00363771212545,0.801566695652143,0.49519740650997557,0.03303492121363927,44034.39365321933,48138.90965870268,14.489811807269504,1.4923685512982945,0.005739798736780123,-14.489811807269504,0.05572926569324596,1.0,5140.4897386166995,5140.488827880974,5140.489674374985
standard_isa,344.4153265295442,90385.59326334436,67280.53667229599,10013.996436452211,10013.996436452211,223.0590231630606,0.4119891196727924,299.40061729819325,26379.289493291817,troposphere,240.0,260.00587700700083,0.8016015536833975,0.4951674993966209,0.033033588360641616,44016.3213232298,48119.075194011064,14.483841633397327,1.4923702503519305,0.0057397558375641925,-14.483841633397327,0.05570582403799796,1.0,5169.463392057366,5169.462476384281,5169.463327704012
standard_isa,346.4153265295442,90905.6077020565,67251.57496068039,10016.981162060973,10016.981162060973,223.03962244660366,0.4118366382474443,299.38759672474174,26367.23273777471,troposphere,240.0,260.00865079594826,0.8016364158888554,0.49513760416245567,0.033032256117508145,43998.25590916473,48099.238481958826,14.477870783069603,1.492368351306467,0.005739687301703127,-14.477870783069603,0.05568226571981125,1.0,5198.425104473833,5198.424183871593,5198.425039319613
standard_isa,348.4153265295442,91425.62822289941,67222.62518596301,10019.965922579326,10019.965922579326,223.02022150323438,0.4116841982178209,299.3745754326924,26355.180303842797,troposphere,240.0,260.0119591419333,0.8016712830510839,0.49510772491627403,0.033030924667229594,43980.19728709917,48079.41772025464,14.471904733796645,1.4923695198259737,0.00573961876504046,-14.471904733796645,0.055658611940602454,1.0,5227.374879990699,5227.373954467631,5227.374814036986
standard_isa,350.4153265295442,91945.65589495677,67193.68734100553,10022.950655838948,10022.950655838948,223.0008207370468,0.41153180275072476,299.36155369318385,26343.13244128456,troposphere,240.0,260.0158019781031,0.8017061544448569,0.495077857822562,0.03302959383877796,43962.14556598434,48059.59972478265,14.465939517159576,1.4923689184513025,0.0057395316249932386,-14.465939517159576,0.05563484760198461,1.0,5256.312724241655,5256.311793808201,5256.312658994473
standard_isa,352.4153265295442,92465.69178717928,67164.76142551297,10025.935396307492,10025.935396307492,222.98141992400127,0.4113794500773892,299.34853135577333,26331.08900966306,troposphere,240.0,260.0201793434488,0.8017410304738122,0.4950480050308647,0.03302826372782676,43944.100682676966,48039.789944484895,14.45997677328995,1.4923685533701432,0.005739433597570678,-14.45997677328995,0.05561097915477717,1.0,5285.238640532104,5285.237705194943,5285.238574487026
standard_isa,354.4153265295442,92985.73696873366,67135.84743085821,10028.92017090848,10028.92017090848,222.96201888909485,0.4112271388159594,299.3355083029084,26319.04989917123,troposphere,240.0,260.02509128856127,0.8017759114536299,0.49501816816620664,0.03302693440665821,43926.06258409435,48019.99333853008,14.454017994897553,1.492370252207736,0.005739331711460057,-14.454017994897553,0.05558701248125818,1.0,5314.152635300292,5314.151695069366,5314.152569141792
standard_isa,356.4153265295442,93505.79250855476,67106.94535509677,10031.904877524388,10031.904877524388,222.94261829609144,0.41107487416822774,299.3224849800801,26307.015520362034,troposphere,240.0,260.0305376362954,0.8018107961918464,0.49498834097732236,0.03302560559665669,43908.03145372928,48000.19456083526,14.448058562811411,1.492368354203149,0.005739204201817727,-14.448058562811411,0.055562930008705,1.0,5343.054711858001,5343.053766740717,5343.054644903226
