scenario,distance_m,temperature_k,density_kgm3,sound_speed_mps,pressure_pa
standard_isa,46093.28285033968,224.70809581636945,0.4251088527158335,300.50531187605384,27420.56630206741
standard_isa,46616.68766333912,224.688693013606,0.4249526532418989,300.4923377748222,27408.12424644377
standard_isa,47140.00768803373,224.66929335397523,0.4247965229720179,300.47936521525406,27395.688777076924
standard_isa,47663.24400045104,224.6498919254939,0.4246404223608755,300.46639091269134,27383.256743542195
standard_isa,48186.39765835755,224.63049071095628,0.4244843673584251,300.45341619294663,27370.82941563772
standard_isa,48709.46974124152,224.61109154312163,0.4243283726903726,300.44044228171794,27358.40796524336
standard_isa,49232.4613116657,224.5916888615842,0.4241723936402148,300.42746546014206,27345.98883121826
standard_isa,49755.37343920761,224.5722891273313,0.4240164821414998,300.4144900493327,27333.576147982498
standard_isa,50278.20719904488,224.55288773739727,0.4238606011882548,300.4015129706038,27321.166968645204
standard_isa,50800.96365033623,224.53348654618603,0.4237047656761272,300.3885354641814,27308.762478518416
standard_isa,51323.64387126067,224.51408726978613,0.4235489893734878,300.37555867798056,27296.36377278488
standard_isa,51846.24892520915,224.494684709754,0.4233932305328985,300.36257913446684,27283.96752815056
standard_isa,52368.779881685296,224.4752849007107,0.4232375375920321,300.34960087046665,27271.57759902418
standard_isa,52891.23781507107,224.4558835494048,0.4230818760828121,300.3366210138206,27259.191241758923
standard_isa,53413.62378582715,224.43648238157405,0.4229262598472908,300.323640718947,27246.809557309814
standard_isa,53935.93887090965,224.4170829963685,0.4227707016970096,300.3106610557651,27234.43356426857
standard_isa,54458.184134481904,224.39768055810293,0.4226151628517466,300.297678788706,27222.06017683668
standard_isa,54980.36064597908,224.37828067411212,0.4224596882556195,300.2846976695707,27209.69296983652
standard_isa,55502.469479041945,224.3588793615093,0.4223042459766206,300.2717150332508,27197.3294025454
standard_isa,56024.51169534246,224.33947821710967,0.4221488488040754,300.2587319481481,27184.97049170289
standard_isa,56546.48837070058,224.3200787228741,0.421993508593347,300.2457494059848,27172.617179427227
standard_isa,57068.40056999598,224.3006764066183,0.4218381895291336,300.23276441375896,27160.266617028785
standard_isa,57590.249362600814,224.2812764475341,0.4216829330648455,300.2197804375497,27147.92210021028
standard_isa,58112.035821469406,224.2618751737036,0.4215277098023314,300.2067950197934,27135.58129082285
standard_isa,58633.76100939389,224.2424740527821,0.4213725314792188,300.1938091426796,27123.2451215448
standard_isa,59155.426001145184,224.22307444930863,0.4212174089954897,300.1808237195435,27110.91445814997
standard_isa,59677.03186226304,224.2036722552873,0.4210623094980144,300.16783600051536,27098.58668863533
standard_isa,60198.579662062046,224.1842722209752,0.420907270952873,300.15484916529886,27086.264830092423
standard_isa,60720.070472865,224.16487098598023,0.420752266493176,300.1418609643378,27073.94674656573
